,tweet_id,comments,retweets,quotes,likes
0,0,comments': 70, 'retweets': 1, 'quotes': 0, 'likes': 10
1,1,comments': 7, 'retweets': 0, 'quotes': 2, 'likes': 7
2,2,comments': 2, 'retweets': 1, 'quotes': 0, 'likes': 6
3,3,comments': 16, 'retweets': 4, 'quotes': 1, 'likes': 17
4,4,comments': 5, 'retweets': 8, 'quotes': 0, 'likes': 50
5,5,comments': 5, 'retweets': 2, 'quotes': 0, 'likes': 14
6,6,comments': 21, 'retweets': 7, 'quotes': 5, 'likes': 39
7,7,comments': 2, 'retweets': 1, 'quotes': 0, 'likes': 3
8,8,comments': 1, 'retweets': 2, 'quotes': 1, 'likes': 7
9,9,comments': 10, 'retweets': 4, 'quotes': 1, 'likes': 18
10,10,comments': 8, 'retweets': 0, 'quotes': 1, 'likes': 7
11,11,comments': 57, 'retweets': 2, 'quotes': 3, 'likes': 32
12,12,comments': 16, 'retweets': 2, 'quotes': 0, 'likes': 11
13,13,comments': 13, 'retweets': 0, 'quotes': 0, 'likes': 12
14,14,comments': 79, 'retweets': 9, 'quotes': 12, 'likes': 52
15,15,comments': 25, 'retweets': 0, 'quotes': 1, 'likes': 3
16,16,comments': 29, 'retweets': 1, 'quotes': 0, 'likes': 13
17,17,comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0
18,18,comments': 6, 'retweets': 0, 'quotes': 0, 'likes': 2
19,19,comments': 26, 'retweets': 1, 'quotes': 0, 'likes': 5
20,20,comments': 6, 'retweets': 0, 'quotes': 0, 'likes': 0
21,21,comments': 14, 'retweets': 1, 'quotes': 0, 'likes': 5
22,22,comments': 14, 'retweets': 2, 'quotes': 2, 'likes': 4
23,23,comments': 7, 'retweets': 0, 'quotes': 0, 'likes': 2
24,24,comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1
25,25,comments': 9, 'retweets': 2, 'quotes': 0, 'likes': 13
26,26,comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 3
27,27,comments': 4, 'retweets': 2, 'quotes': 0, 'likes': 13
28,28,comments': 5, 'retweets': 10, 'quotes': 5, 'likes': 57
29,29,comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1
30,30,comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 1
31,31,comments': 4, 'retweets': 0, 'quotes': 0, 'likes': 3
32,32,comments': 6, 'retweets': 1, 'quotes': 0, 'likes': 4
33,33,comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 2
34,34,comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 0
35,35,comments': 8, 'retweets': 1, 'quotes': 0, 'likes': 2
36,36,comments': 7, 'retweets': 0, 'quotes': 0, 'likes': 3
37,37,comments': 5, 'retweets': 3, 'quotes': 0, 'likes': 15
38,38,comments': 13, 'retweets': 18, 'quotes': 1, 'likes': 38
39,39,comments': 3, 'retweets': 0, 'quotes': 0, 'likes': 2
40,40,comments': 2, 'retweets': 0, 'quotes': 0, 'likes': 1
