,tweet_id,quoted-post,pictures,videos
0,0,No_Quoted_post,No_Pictures,No_Videos
1,1,No_Quoted_post,No_Pictures,['https://video.twimg.com/ext_tw_video/1790554127791161344/pu/vid/avc1/720x1280/IAynsD_NKwigAuVg.mp4?tag=12']
2,2,No_Quoted_post,No_Pictures,No_Videos
3,3,No_Quoted_post,No_Pictures,No_Videos
4,4,No_Quoted_post,No_Pictures,No_Videos
5,5,No_Quoted_post,No_Pictures,No_Videos
6,6,No_Quoted_post,No_Pictures,No_Videos
7,7,No_Quoted_post,No_Pictures,No_Videos
8,8,No_Quoted_post,No_Pictures,No_Videos
9,9,No_Quoted_post,"['https://pbs.twimg.com/media/GKNb9JRaQAAlvAW.jpg', 'https://pbs.twimg.com/media/GKNbiXMbQAAdgED.jpg']",No_Videos
10,10,"{'link': 'https://twitter.com/AusWomenCricket/status/1772527834231439478#m', 'text': ""Aussie fans, you're in for a treat!  Bring on an epic summer at some of the biggest and best cricket grounds in Australia 🏟️ cricketa.us/Aussie-Women-Sch…"", 'user': {'name': ""Australian Women's Cricket Team 🏏"", 'username': '@AusWomenCricket', 'profile_id': '872354891741745153', 'avatar': 'https://pbs.twimg.com/profile_images/872354891741745153/uWUmR8nX_mini.jpg'}, 'date': 'Mar 26, 2024 · 7:35 AM UTC', 'pictures': ['https://pbs.twimg.com/media/GJlIE27aYAAc1BG.jpg'], 'videos': [], 'gifs': []}",No_Pictures,No_Videos
11,11,"{'link': 'https://twitter.com/CommBank/status/1767526301580341578#m', 'text': ""1/3: We're aware some customers are having difficulty viewing current balances or making payments in the CommBank app. NetBank is also unavailable. We're currently investigating and are working hard to get it fixed."", 'user': {'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_mini.jpg'}, 'date': 'Mar 12, 2024 · 12:21 PM UTC', 'pictures': [], 'videos': [], 'gifs': []}",No_Pictures,No_Videos
12,12,No_Quoted_post,No_Pictures,No_Videos
13,13,No_Quoted_post,No_Pictures,No_Videos
14,14,No_Quoted_post,No_Pictures,No_Videos
15,15,"{'link': 'https://twitter.com/AusWomenCricket/status/1765903888337760449#m', 'text': 'We’re all about inspiring the next gen!  Last month a few keen young cricketers from Weston Creek Molonglo Cricket Club in Canberra caught up with some of our Aussie girls before walking out to Manuka Oval as the @CommBank Mini Mates! #IWD2024', 'user': {'name': ""Australian Women's Cricket Team 🏏"", 'username': '@AusWomenCricket', 'profile_id': '872354891741745153', 'avatar': 'https://pbs.twimg.com/profile_images/872354891741745153/uWUmR8nX_mini.jpg'}, 'date': 'Mar 8, 2024 · 12:54 AM UTC', 'pictures': [], 'videos': ['https://video.twimg.com/ext_tw_video/1765891778606252032/pu/vid/avc1/720x1280/gQohFeFyQnuskjcT.mp4?tag=12'], 'gifs': []}",No_Pictures,No_Videos
16,16,No_Quoted_post,['https://pbs.twimg.com/media/GHazf1YagAAU1ze.jpg'],No_Videos
17,17,No_Quoted_post,No_Pictures,No_Videos
18,18,No_Quoted_post,No_Pictures,['https://video.twimg.com/ext_tw_video/1762606096563519488/pu/vid/avc1/720x1280/gw9GadgKdcqCr7gM.mp4?tag=12']
19,19,No_Quoted_post,No_Pictures,No_Videos
20,20,No_Quoted_post,No_Pictures,No_Videos
21,21,No_Quoted_post,['https://pbs.twimg.com/media/GGK_Aiia0AAKiXq.jpg'],No_Videos
22,22,No_Quoted_post,['https://pbs.twimg.com/media/GGFqggkbwAAGUM4.jpg'],No_Videos
23,23,No_Quoted_post,No_Pictures,['https://video.twimg.com/ext_tw_video/1755825092117098496/pu/vid/avc1/720x1280/8jTpMgm8LiU1Gbbj.mp4?tag=12']
24,24,No_Quoted_post,No_Pictures,No_Videos
25,25,No_Quoted_post,['https://pbs.twimg.com/media/GFoFtqGbUAAlXJK.png'],No_Videos
26,26,No_Quoted_post,No_Pictures,No_Videos
27,27,No_Quoted_post,['https://pbs.twimg.com/media/GFjS_cMbAAAJUiJ.jpg'],No_Videos
28,28,No_Quoted_post,No_Pictures,['https://video.twimg.com/ext_tw_video/1751775877938221056/pu/vid/avc1/540x960/F7dhpoY55-6K9b3U.mp4?tag=12']
29,29,No_Quoted_post,No_Pictures,No_Videos
30,30,No_Quoted_post,No_Pictures,No_Videos
31,31,No_Quoted_post,['https://pbs.twimg.com/media/GEt52DMaUAAgOpn.jpg'],No_Videos
32,32,No_Quoted_post,No_Pictures,['https://video.twimg.com/ext_tw_video/1750277665700114432/pu/vid/avc1/720x1280/DXQwOYi56YP3Vesp.mp4?tag=12']
33,33,No_Quoted_post,No_Pictures,No_Videos
34,34,No_Quoted_post,No_Pictures,No_Videos
35,35,No_Quoted_post,No_Pictures,No_Videos
36,36,No_Quoted_post,No_Pictures,['https://video.twimg.com/ext_tw_video/1747473734011854848/pu/vid/avc1/720x1280/xGz5S_BEBx4Dpruk.mp4?tag=12']
37,37,No_Quoted_post,No_Pictures,No_Videos
38,38,No_Quoted_post,['https://pbs.twimg.com/media/GD1p2jZbcAAzalM.jpg'],No_Videos
39,39,No_Quoted_post,No_Pictures,No_Videos
40,40,No_Quoted_post,No_Pictures,No_Videos
